ID,Name,Latex
1216,Delta(1905),\Delta(1905)^{0}
-1216,Delta(1905)~,\overline{\Delta}(1905)^{0}
1218,N(2190),N(2190)^{0}
-1218,N(2190)~,\overline{N}(2190)^{0}
2101,(ud)(0),(ud)_{0}
-2101,(ud)(0)~,(ud)_{0}
2103,(ud)(1),(ud)_{1}
-2103,(ud)(1)~,(ud)_{1}
2112,n,n
-2112,n~,\overline{n}
2114,Delta(1232),\Delta(1232)^{0}
-2114,Delta(1232)~,\overline{\Delta}(1232)^{0}
2116,N(1675),N(1675)^{0}
-2116,N(1675)~,\overline{N}(1675)^{0}
2118,Delta(1950),\Delta(1950)^{0}
-2118,Delta(1950)~,\overline{\Delta}(1950)^{0}
2122,Delta(1620),\Delta(1620)^{+}
-2122,Delta(1620)~,\overline{\Delta}(1620)^{-}
2124,N(1520),N(1520)^{+}
-2124,N(1520)~,\overline{N}(1520)^{-}
2126,Delta(1905),\Delta(1905)^{+}
-2126,Delta(1905)~,\overline{\Delta}(1905)^{-}
2128,N(2190),N(2190)^{+}
-2128,N(2190)~,\overline{N}(2190)^{-}
2203,(uu)(1),(uu)_{1}
-2203,(uu)(1)~,(uu)_{1}
2212,p,p
-2212,p~,\overline{p}
2214,Delta(1232),\Delta(1232)^{+}
-2214,Delta(1232)~,\overline{\Delta}(1232)^{-}
2216,N(1675),N(1675)^{+}
-2216,N(1675)~,\overline{N}(1675)^{-}
2218,Delta(1950),\Delta(1950)^{+}
-2218,Delta(1950)~,\overline{\Delta}(1950)^{-}
2222,Delta(1620),\Delta(1620)^{++}
-2222,Delta(1620)~,\overline{\Delta}(1620)^{--}
2224,Delta(1232),\Delta(1232)^{++}
